Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/model/predict_coordinates,1692,15,30000.0,43426.26981790782,614.2006999980367,745764.508799999,21.291371158392433,1.9095456074098616,0.01692859581037111,30000,35000,38000,42000,89000,128000,174000,234000,540000,746000,746000
,Aggregated,1692,15,30000.0,43426.26981790782,614.2006999980367,745764.508799999,21.291371158392433,1.9095456074098616,0.01692859581037111,30000,35000,38000,42000,89000,128000,174000,234000,540000,746000,746000
