Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/model/predict_coordinates,8860,7251,30000.0,52203.73231577886,1722.7967999970133,749607.9004999993,3.8959367945823926,10.193811767914442,8.342587937827044,30000,30000,30000,30000,134000,179000,214000,393000,660000,750000,750000
,Aggregated,8860,7251,30000.0,52203.73231577886,1722.7967999970133,749607.9004999993,3.8959367945823926,10.193811767914442,8.342587937827044,30000,30000,30000,30000,134000,179000,214000,393000,660000,750000,750000
