Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/model/predict_coordinates,7995,7456,30000.0,48932.6105035773,4700.111800000741,693378.564999999,1.4366479049405878,9.01152485267608,8.403993658730814,30000,30000,30000,30000,30000,170000,417000,549000,669000,693000,693000
,Aggregated,7995,7456,30000.0,48932.6105035773,4700.111800000741,693378.564999999,1.4366479049405878,9.01152485267608,8.403993658730814,30000,30000,30000,30000,30000,170000,417000,549000,669000,693000,693000
