Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/model/predict_coordinates,1313,8,3600.0,4337.848512262005,1091.5442999976221,66784.28780000104,21.32977913175933,1.4588957163629863,0.008888930488121775,3600,4400,5000,5400,6800,8900,13000,19000,42000,67000,67000
,Aggregated,1313,8,3600.0,4337.848512262005,1091.5442999976221,66784.28780000104,21.32977913175933,1.4588957163629863,0.008888930488121775,3600,4400,5000,5400,6800,8900,13000,19000,42000,67000,67000
