Method,Name,Error,Occurrences
POST,/model/predict_coordinates,RemoteDisconnected('Remote end closed connection without response'),4
POST,/model/predict_coordinates,HTTPError('500 Server Error: Internal Server Error for url: /model/predict_coordinates'),4
