Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/model/predict_coordinates,3501,2206,30000.0,75760.68676106849,557.705100000021,730755.0504000029,7.964295915452728,3.890119431180752,2.4511863653769606,30000,30000,91000,128000,208000,260000,308000,386000,645000,731000,731000
,Aggregated,3501,2206,30000.0,75760.68676106849,557.705100000021,730755.0504000029,7.964295915452728,3.890119431180752,2.4511863653769606,30000,30000,91000,128000,208000,260000,308000,386000,645000,731000,731000
